feature,coefficient,abs_coefficient
num__market_implied_prob,3.1436561008916057,3.1436561008916057
cat__category_fallback_Crypto,-0.9577300345211465,0.9577300345211465
cat__category_fallback_Sports,0.5606044890315424,0.5606044890315424
num__history_points_count,-0.40813234195449927,0.40813234195449927
num__log_volume,0.3704935494118352,0.3704935494118352
num__duration_hours,0.3508554597319686,0.3508554597319686
cat__category_fallback_Politics,0.24803947867070925,0.24803947867070925
cat__category_fallback_Other,0.21585824000802672,0.21585824000802672
num__prob_change_24h,-0.1775624690613286,0.1775624690613286
num__distance_from_0_5,0.15790132531294124,0.15790132531294124
cat__category_fallback_Culture/Entertainment,-0.04093364565293644,0.04093364565293644
cat__category_fallback_Business/Tech,-0.03608286829387271,0.03608286829387271
